,census_tract,code_simple,score
423,6500.0,21.0,55.9804115625
424,6600.0,21.0,37.2192483689
425,6801.0,21.0,64.7691391369
426,6802.0,21.0,52.1638469939
427,6900.0,21.0,52.5023820023
428,7002.0,21.0,57.3382949159
429,7100.0,21.0,52.1098171934
430,7200.0,21.0,52.656466935
431,7301.0,21.0,65.3384607495
432,7302.0,21.0,54.2273765239
433,7400.0,21.0,55.3925587989
434,7501.0,21.0,57.6510188565
435,7502.0,21.0,48.1914289038
436,7600.0,21.0,45.7378658995
437,7701.0,21.0,77.9961231513
438,7702.0,21.0,66.1816783077
439,7800.0,21.0,53.5585596112
440,7903.0,21.0,61.2812332763
441,7905.0,21.0,50.4645307515
442,7907.0,21.0,63.6023256571
443,7908.0,21.0,57.1057656104
444,7910.0,21.0,62.7763789575
445,8002.0,21.0,60.4245358029
446,8003.0,21.0,41.5052565232
447,8006.0,21.0,70.4529342837
448,8101.0,21.0,60.6467283725
449,8102.0,21.0,63.4871698939
450,8200.0,21.0,62.1924516918
451,8301.0,21.0,54.1513219655
452,8303.0,21.0,62.0903341374
453,8305.0,21.0,69.2197658697
454,8306.0,21.0,58.7991850616
455,8307.0,21.0,55.570660055
456,8310.0,21.0,62.1458329389
457,8311.0,21.0,62.1602395917
458,8312.0,21.0,55.8791543455
459,8313.0,21.0,65.4523367788
460,8324.0,21.0,74.5870229453
461,8327.0,21.0,51.9157730389
462,8328.0,21.0,67.6854801448
463,8329.0,21.0,60.4716756505
464,8330.0,21.0,62.1539423559
465,8331.0,21.0,63.9012224768
466,8333.0,21.0,60.0574049725
467,8335.0,21.0,53.2880349451
468,8336.0,21.0,40.474076557
469,8337.0,21.0,51.2179902904
470,8339.0,21.0,52.7683654068
471,8340.0,21.0,54.8528039757
472,8341.0,21.0,37.5812437512
473,8343.0,21.0,63.8896381192
474,8344.0,21.0,52.7435622611
475,8345.0,21.0,41.9719313727
476,8346.0,21.0,55.020907326
477,8347.0,21.0,57.7344240994
478,8348.0,21.0,56.7129911717
479,8349.0,21.0,56.332154375
480,8350.0,21.0,59.9590402628
481,8351.0,21.0,47.2497809195
482,8352.0,21.0,40.4850943252
483,8353.0,21.0,49.1529166764
484,8354.0,21.0,64.964521681
485,8355.0,21.0,52.6832143022
486,8356.0,21.0,64.7769290474
487,8357.0,21.0,47.2382738232
488,8358.0,21.0,48.1374517737
